'sequences'   'words'
apte           chapter
apto           captor
apua           Papua
apup           wrapup
apyb           capybara
Aqua           Aquarius
Arac           Arachne
araf           paraffin
arah           Sarah
arai           Valparaiso
arak           parakeet
arao           pharaoh
arau           maraud
arav           caravan
araw           caraway
arax           paraxial
arby           nearby
Arca           Arcadia
Arct           Arcturus
arcu           Marcus
arcy           Marcy
ardc           hardcopy
Arde           Arden
ardl           niggardly
ardn           Gardner
ardu           arduous
areg           paregoric
Areq           Arequipa
arer           Shearer
Ares           Ares
arey           Carey
arez           Alvarez
arfe           farfetched
arfl           barfly
arfr           hoarfrost
Arge           Argentina
Argi           Argive
argl           gargle
Argu           Argus
argy           lethargy
arha           arhat
arhu           Aarhus
Arie           Aries
arig           marigold
arij           marijuana
ariv           Tananarive
ariw           contrariwise
Ariz           Arizona
arka           Farkas
arkh           Markham
arkm           Sparkman
arkw           parkway
arky           sparky
Arli           Arlington
arlt           Carlton
armc           armchair
Armc           Armco
armp           armpit
Arms           Armstrong
armt           warmth
army           army
arnh           Barnhard
Arno           Arnold
arny           barnyard
arob           carob
aroc           parochial
arod           parody
aroi           Polaroid
arop           phalarope
aroq           baroque
aror           Tuscarora
aros           arose
arph           earphone
arpl           warplane
arpr           burglarproof
arpy           Harpy
Arra           Arragon
Arrh           Arrhenius
arsd           Scarsdale
arsl           parsley
arsn           parsnip
arsu           marsupial
Arte           Artemis
Arti           Artie
artn           partner
Artu           Arturo
Arub           Aruba
arum           arum
arwa           Clearwater
aryb           Charybdis
aryc           barycentric
arza           Tarzan
arzi           bilharziasis
asad           Pasadena
asak           Nagasaki
asar           quasar
asbe           asbestos
asch           paschal
asec           vasectomy
aseh           leasehold
asei           casein
asew           casework
asex           asexual
asey           Casey
asgo           Glasgow
ashf           bashful
ashl           flashlight
Ashm           Ashmolean
asht           ashtray
ashu           Nashua
ashv           Nashville
asif           gasify
Asil           Asilomar
asiu           gymnasium
asiz           deemphasize
askm           taskmaster
asli           gaslight
asmi           protoplasmic
asoh           gasohol
asop           basophilic
asot           Sarasota
aspb           raspberry
aspl           asplenium
Assa           Assam
assb           passband
assp           passport
assr           classroom
Asta           Astarte
astb           eastbound
astf           boastful
ASTM           ASTM
astp           breastplate
Asun           Asuncion
asun           asunder
aswe           Glaswegian
asyg           easygoing
asyl           asylum
aszl           Laszlo
AT&T           AT&T
at'l           that'll
at'r           what're
Atal           Atalanta
atap           catapult
atba           sweatband
atbe           flatbed
atbi           catbird
atca           catcall
Atch           Atchison
atco           greatcoat
ated           antiquated
atek           gatekeep
ateo           Mateo
atep           ratepayer
atet           peripatetic
atev           whatever
atex           latex
Atha           Athabascan
athb           deathbed
athk           Heathkit
aths           loathsome
athu           Bathurst
atka           Kamchatka
atlo           boatload
atlu           spatlum
atno           whatnot
atoa           Krakatoa
Atre           Atreus
atre           hatred
Atro           Atropos
atsh           sweatshirt
atsk           Catskill
atst           Wheatstone
atsw           boatswain
atsy           Patsy
Atti           Attica
attv           bodhisattva
atuo           fatuous
atvi           Latvia
atwa           flatware
Atwa           Atwater
atwi           batwing
Atwo           Atwood
atwo           flatworm
atwu           bratwurst
atya           boatyard
atyr           satyr
Aube           Auberge
aubl           bauble
Aubr           Aubrey
aubu           auburn
auci           paucity
Auck           Auckland
aucu           caucus
aucy           saucy
audl           maudlin
audo           Vaudois
Audr           Audrey
audu           fraudulent
Audu           Audubon
audy           gaudy
Auer           Auerbach
aufm           Kaufman
Auge           Augean
augi           augite
auha           Bauhaus
aujo           Beaujolais
aull           Gaulle
aulo           Paulo
aulu           Paulus
aumo           Beaumont
auna           fauna
aupe           pauper
auqu           Chautauqua
Aure           Aurelius
Auri           Auriga
Ausc           Auschwitz
ausc           Bausch
ausd           Hausdorff
auso           mausoleum
auta           Chautauqua
auty           beauty
auve           mauve
auze           gauze
avab           lavabo
avad           bravado
avaj           Navajo
avda           Pravda
avea           caveat
aveg           waveguide
Aven           Aventine
Aver           Avery
Aves           Avesta
avey           graveyard
avic           Slavic
avik           Reykjavik
Avis           Avis
Aviv           Aviv
avlo           Pavlov
Avog           Avogadro
Avon           Avon
avor           cavort
avot           gavotte
avun           avuncular
avus           Gustavus
avvy           savvy
avyw           heavyweight
awad           Irrawaddy
awal           withdrawal
awas           awash
awbu           squawbush
awdr           tawdry
awdu           sawdust
awdy           bawdy
awee           seaweed
awes           awesome
awfi           sawfish
awfo           Crawford
awid           areawide
awkw           awkward
awky           gawky
awle           Hawley
awli           Rawlinson
awls           crawlspace
awme           lawmen
awmi           sawmill
awne           Shawnee
awns           pawnshop
awok           awoke
awro           squawroot
awsu           lawsuit
awti           sawtimber
awto           sawtooth
awtu           Pawtucket
axes           axes
axic           taxicab
axie           taxied
axif           saxifrage
axin           Maxine
axiw           taxiway
axle           axle
axol           axolotl
axop           saxophone
axse           flaxseed
axte           Baxter
axwo           waxwork
ay'l           today'll
ayam           Nakayama
ayap           mayapple
ayas           Kobayashi
ayba           playback
aybi           waybill
aybo           playboy
aybr           daybreak
aych           paycheck
ayde           Hayden
aydn           Haydn
aydr           daydream
ayen           cayenne
Ayer           Ayers
ayfa           Mayfair
ayfl           Mayflower
ayfu           playful
aygr           playground
ayhe           mayhem
ayho           playhouse
ayis           grayish
Ayle           Aylesbury
ayli           daylight
aymo           Raymond
ayna           Maynard
aypo           Bayport
ayre           Bayreuth
ayso           Grayson
ayug           Cayuga
ayun           picayune
ayup           layup
azaa           bazaar
azal           azalea
azda           Mazda
Azer           Azerbaijan
azet           gazette
azin           magazine
azis           Nazism
azov           Karamazov
azyb           lazybones
azzi           palazzi
azzo           palazzo
Babc           Babcock
Babe           Babel
babe           babe
babi           probabilist
babo           baboon
Bacc           Bacchus
Bach           Bach
bacl           debacle
bacu           abacus
Bade           Baden
badg           badge
badi           badinage
badl           badland
badm           badminton
baff           baffle
Baff           Baffin
Bagh           Baghdad
Bagl           Bagley
bagp           bagpipe
Baha           Bahama
Bahr           Bahrein
baij           Azerbaijan
Bail           Bailey
bain           bainite
Bair           Baird
Bakh           Bakhtiari
baki           Bourbaki
bakl           baklava
Baku           Baku
Balb           Balboa
balc           balcony
Bald           Baldwin
Balf           Balfour
Balk           Balkan
Ball           Ballard
balo           abalone
balt           cobalt
balu           balustrade
Balz           Balzac
Bama           Bamako
bama           Alabama
bamb           bamboo
bami           Alabamian
Bana           Banach
Banb           Banbury
banc           disturbance
banj           banjo
Bank           Banks
bano           Lebanon
banq           banquet
bans           banshee
bany           Albany
bapp           crabapple
barc           embarcadero
barf           barfly
barl           barley
Barl           Barlow
Bars           Barstow
bary           barycentric
basc           Athabascan
Base           Basel
baso           basophilic
Bass           Bassett
bata           combatant
Bata           Batavia
batc           batch
Batc           Batchelder
Bath           Bathurst
Bato           Bator
bato           baton
batr           albatross
Batt           Battelle
batw           batwing
baub           bauble
Baud           Baudelaire
baud           baud
Baue           Bauer
Bauh           Bauhaus
Baus           Bausch
baux           bauxite
Bava           Bavaria
bawl           bawl
Baxt           Baxter
baya           Kobayashi
bayb           bayberry
Bayd           Bayda
baye           bayed
Baye           Bayesian
Bayl           Baylor
Bayo           Bayonne
Bayp           Bayport
Bayr           Bayreuth
baza           bazaar
bbag           cabbage
bbas           abbas
bbea           Caribbean
bbes           Hobbes
bbey           abbey
bboc           Lubbock
bbol           shibboleth
bbor           stubborn
bbou           gibbous
bbre           abbreviate
bbro           gabbro
bbub           hubbub
bbut           kibbutzim
bcap           mobcap
bcat           bobcat
bcoc           Babcock
bdat           molybdate
bdic           abdicate
bdis           Charybdis
bdow           rubdown
bdri           cabdriver
bduc           abduct
Bear           Beardsley
Beat           Beatrice
beav           beaver
bebo           bebop
becc           Rebecca
Bech           Bechtel
beci           imbecile
becl           becloud
beco           become
becu           barbecue
beda           bedazzle
bedb           bedbug
bede           bedevil
Bedf           Bedford
bedf           bedfast
bedl           bedlam
bedp           bedpost
bedt           bedtime
beeb           beebread
Beeb           Beebe
Beec           Beecham
beeh           beehive
been           been
beep           beep
beer           beer
Beet           Beethoven
befe           befell
befu           befuddle
bega           began
begr           begrudge
behi           behind
beho           behold
beia           plebeian
beig           beige
Beij           Beijing
Beir           Beirut
beis           obeisant
beit           albeit
bekn           unbeknownst
bela           belate
Bela           Bela
belc           belch
belf           belfry
Belf           Belfast
Belm           Belmont
Belo           Beloit
bels           Abelson
Bels           Belshazzar
Belt           Beltsville
belu           Nibelung
bely           belying
BEMA           BEMA
bemo           bemoan
bemu           bemuse
bena           verbena
Benj           Benjamin
bens           lebensraum
Bens           Benson
Beog           Beograd
Beow           Beowulf
beph           hebephrenic
bepl           beplaster
berb           fiberboard
berk           berkelium
bero           Gaberones
Berr           Berra
beru           Cerberus
Berw           Berwick
besc           pubescent
besg           Lebesgue
beso           besotted
besq           arabesque
Bete           Betelgeuse
Beve           Beverly
bevy           bevy
bewh           bewhisker
beyo           beyond
beze           bezel
bezz           embezzle
bgob           hobgoblin
bhol           jobholder
bhou           clubhouse
bhoy           bhoy
Bhut           Bhutan
biag           verbiage
Bial           Bialystok
bias           bias
biax           biaxial
bibb           bibb
bibe           imbibe
Bibl           Bible
bich           bichromate
bick           bicker
bicu           rubicund
bicy           bicycle
bidj           Abidjan
bido           libido
bies           rabies
bifo           bifocal
bifu           bifurcate
bify           syllabify
biga           Abigail
Bige           Bigelow
Bigg           Biggs
biha           biharmonic
bijo           bijouterie
biki           bikini
bilg           bilge
bilh           bilharziasis
bilk           bilk
Bilt           Biltmore
bilt           Vanderbilt
Bimi           Bimini
Bini           Bini
binu           binuclear
bioc           biochemic
biom           biometry
Biom           Biometrika
biop           biopsy
bios           symbiosis
bipl           biplane
bipo           bipolar
bira           biracial
birc           birch
bire           birefringent
Birg           Birgit
Birm           Birmingham
birs           Novosibirsk
biso           bison
bisq           bisque
Biss           Bissau
bitc           bitch
bitn           bitnet
bitw           bitwise
bitz           kibitz
bivo           bivouac
biza           bizarre
Bize           Bizet
bjet           objet
bjun           subjunctive
blab           blab
blag           assemblage
blai           chilblain
Blak           Blake
blar           blare
Blat           Blatz
bleb           bumblebee
blec           tablecloth
Blee           Bleeker
bleh           doubleheader
blei           Heublein
blel           tableland
Blen           Blenheim
blew           blew
bley           Sibley
Blin           Blinn
blip           blip
bliq           oblique
bliz           blizzard
bloa           bloat
blob           blob
Bloc           Bloch
bloi           tabloid
blok           bloke
blol           loblolly
blos           blossom
blou           blouse
blub           blubber
blud           bludgeon
bluf           bluff
blui           bluish
blum           Rosenblum
Blvd           Blvd
Blyt           Blythe
bmea           crabmeat
bmer           submersible
bnai           thumbnail
